4.3179	4.0867
0.8468	-3.0845
5.1385	3.1072
2.0259	-2.6181
-1.9214	2.1463
3.9322	4.1971
0.4887	-3.0474
3.9694	3.7953
4.4223	4.0926
-0.6558	-2.9769
-0.7887	-2.9222
1.7005	-3.134
4.0421	3.8017
1.1851	-2.834
0.6104	-3.3166
3.4807	4.7536
-2.0653	1.6955
3.8139	3.6461
-0.4046	3.4811
3.4878	4.2313
0.5675	-3.2605
3.6104	4.7479
0.8791	-2.9856
2.1271	-3.2771
4.1683	3.3549
4.6866	5.4634
1.8999	-1.809
-1.892	1.8388
0.7406	-2.2333
3.9231	3.7231
1.1167	-2.5527
3.9942	4.0225
-0.093	-2.1199
-0.1289	-3.1031
2.0565	-3.1773
4.0161	3.915
4.3433	3.7434
1.5342	-5.2513
-3.742	3.0026
-1.562	2.4492
4.065	3.5061
4.2169	4.1865
4.2913	4.1134
4.8332	3.3539
3.9501	4.1123
-1.4605	1.9487
0.9109	-2.4771
4.3214	3.9525
0.9584	-3.0892
2.1792	-2.336
4.5347	4.7479
3.8816	5.5554
3.0715	4.4527
3.8924	4.4895
2.7329	5.5411
1.4946	-3.1681
-1.6775	2.0688
1.7092	-2.756
2.5797	-2.1665
2.6541	-0.5462
5.03	3.9614
4.1256	4.0847
-1.8881	1.7702
2.6314	3.3095
2.2755	4.2321
-1.7555	2.009
-2.2615	0.6106
3.3736	3.9293
0.7804	-3.2128
-2.0083	1.9996
-2.0977	1.2646
-2.0214	2.4184
5.101	4.4231
5.3579	4.7046
3.9154	3.8465
4.7935	4.0558
0.8055	-4.2255
1.8332	-3.6461
-1.9126	1.9482
1.2046	-2.6329
1.4746	-2.729
2.8506	3.3487
3.8157	3.9791
-2.3044	1.2936
3.472	3.4619
-2.1583	3.1368
-0.9788	-3.4371
1.1171	-2.9769
-1.9176	2.6235
-2.8828	-0.1107
0.1475	-2.2412
4.9258	4.1744
0.7106	-2.8284
-2.0995	2.4579
-1.25	2.8232
-2.227	2.4113
-0.8198	3.1616
4.6422	2.711
0.9169	-2.1234
1.1828	-3.3353
3.9153	4.0517
-2.8948	2.0817
-1.5889	1.0292
3.9686	5.6387
-2.3083	2.36
4.917	5.4395
-2.3414	1.61
5.1881	4.0242
3.6341	1.4681
3.5577	5.2757
1.0523	-2.7911
-0.4736	-3.0152
